9N,8.73W
1762-03-01,1.6310000000000002,5.729,Aachen,Germany,50.63N,6.34E
1762-04-01,10.808,4.373,Aachen,Germany,50.63N,6.34E
1762-05-01,14.072000000000001,7.108,Aachen,Germany,50.63N,6.34E
1762-06-01,16.176,7.6,Aachen,Germany,50.63N,6.34E
1762-07-01,18.337,3.0580000000000003,Aachen,Germany,50.63N,6.34E
1762-08-01,15.492,3.27,Aachen,Germany,50.63N,6.34E
1762-09-01,13.415,9.766,Aachen,Germany,50.63N,6.34E
1762-10-01,6.6640000000000015,4.788,Aachen,Germany,50.63N,6.34E
1762-11-01,3.1530000000000005,2.678,Aachen,Germany,50.63N,6.34E
1762-12-01,-1.906,7.505,Aachen,Germany,50.63N,6.34E
1763-01-01,-4.699,7.153,Aachen,Germany,50.63N,6.34E
1763-02-01,3.9410000000000003,5.684,Aachen,Germany,50.63N,6.34E
1763-03-01,3.2220000000000004,8.307,Aachen,Germany,50.63N,6.34E
1763-04-01,7.32,2.1180000000000003,Aachen,Germany,50.63N,6.34E
1763-05-01,11.169,3.286,Aachen,Germany,50.63N,6.34E
1763-06-01,15.647,6.92,Aachen,Germany,50.63N,6.34E
1763-07-01,17.285,2.366,Aachen,Germany,50.63N,6.34E
1763-08-01,17.695999999999994,3.4210000000000003,Aachen,Germany,50.63N,6.34E
1763-09-01,12.738,3.1519999999999997,Aachen,Germany,50.63N,6.34E
1763-10-01,7.152000000000001,7.399,Aachen,Germany,50.63N,6.34E
1763-11-01,4.144,4.022,Aachen,Germany,50.63N,6.34E
1763-12-01,3.463,2.3369999999999997,Aachen,Germany,50.63N,6.34E
1764-01-01,3.741,6.318,Aachen,Germany,50.63N,6.34E
1764-02-01,4.034,3.42,Aachen,Germany,50.63N,6.34E
1764-03-01,3.007000000000001,4.292,Aachen,Germany,50.63N,6.34E
1764-04-01,7.483,5.2989999999999995,Aachen,Germany,50.63N,6.34E
1764-05-01,14.383,8.356,Aachen,Germany,50.63N,6.34E
1764-06-01,15.304,3.457,Aachen,Germany,50.63N,6.34E
1764-07-01,18.58,6.148,Aachen,Germany,50.63N,6.34E
1764-08-01,15.724999999999998,1.666,Aachen,Germany,50.63N,6.34E
1764-09-01,11.962,5.771,Aachen,Germany,50.63N,6.34E
1764-10-01,7.356000000000001,3.1239999999999997,Aachen,Germany,50.63N,6.34E
1764-11-01,3.762000000000001,3.7260000000000004,Aachen,Germany,50.63N,6.34E
1764-12-01,0.979,4.584,Aachen,Germany,50.63N,6.34E
1765-01-01,2.407,11.594000000000001,Aachen,Germany,50.63N,6.34E
1765-02-01,-1.739,5.0360000000000005,Aachen,Germany,50.63N,6.34E
1765-03-01,6.1160000000000005,3.463,Aachen,Germany,50.63N,6.34E
1765-04-01,8.67,2.046,Aachen,Germany,50.63N,6.34E
1765-05-01,11.999,2.802,Aachen,Germany,50.63N,6.34E
1765-06-01,16.503999999999998,3.605,Aachen,Germany,50.63N,6.34E
1765-07-01,15.812000000000001,4.742,Aachen,Germany,50.63N,6.34E
1765-08-01,17.247,3.228,Aachen,Germany,50.63N,6.34E
1765-09-01,13.208,1.893,Aachen,Germany,50.63N,6.34E
1765-10-01,9.647,1.0959999999999999,Aachen,Germany,50.63N,6.34E
1765-11-01,3.718,4.045,Aachen,Germany,50.63N,6.34E
1765-12-01,-0.19500000000000006,2.7289999999999996,Aachen,Germany,50.63N,6.34E
1766-01-01,-2.6530000000000005,8.402999999999999,Aachen,Germany,50.63N,6.34E
1766-02-01,-0.2590000000000001,4.64,Aachen,Germany,50.63N,6.34E
1766-03-01,4.2440000000000015,3.2939999999999996,Aachen,Germany,50.63N,6.34E
1766-04-01,9.699,3.9419999999999997,Aachen,Germany,50.63N,6.34E
1766-05-01,13.043,2.125,Aachen,Germany,50.63N,6.34E
1766-06-01,15.923,8.302,Aachen,Germany,50.63N,6.34E
1766-07-01,16.964000000000002,4.666,Aachen,Germany,50.63N,6.34E
1766-08-01,17.145,3.838,Aachen,Germany,50.63N,6.34E
1766-09-01,14.355,4.352,Aachen,Germany,50.63N,6.34E
1766-10-01,8.765,2.295,Aachen,Germany,50.63N,6.34E
1766-11-01,4.456,6.082000000000001,Aachen,Germany,50.63N,6.34E
1766-12-01,-0.19599999999999995,4.03,Aachen,Germany,50.63N,6.34E
1767-01-01,-5.495,7.669,Aachen,Germany,50.63N,6.34E
1767-02-01,4.726,9.062000000000001,Aachen,Germany,50.63N,6.34E
1767-03-01,4.4110000000000005,9.524,Aachen,Germany,50.63N,6.34E
1767-04-01,6.59,6.983,Aachen,Germany,50.63N,6.34E
1767-05-01,11.175,2.6210000000000004,Aachen,Germany,50.63N,6.34E
1767-06-01,14.456,4.195,Aachen,Germany,50.63N,6.34E
1767-07-01,16.698999999999998,4.478,Aachen,Germany,50.63N,6.34E
1767-08-01,17.191,2.378,Aachen,Germany,50.63N,6.34E
1767-09-01,14.29,4.644,Aachen,Germany,50.63N,6.34E
1767-10-01,8.969000000000003,3.071,Aachen,Germany,50.63N,6.34E
1767-11-01,6.621,9.384,Aachen,Germany,50.63N,6.34E
1767-12-01,-0.7369999999999999,6.274,Aachen,Germany,50.63N,6.34E
1768-01-01,-2.904,13.767999999999999,Aachen,Germany,50.63N,6.34E
1768-02-01,1.74,10.415999999999999,Aachen,Germany,50.63N,6.34E
1768-03-01,2.6950000000000003,7.209,Aachen,Germany,50.63N,6.34E
1768-04-01,7.915,4.2860000000000005,Aachen,Germany,50.63N,6.34E
1768-05-01,12.838,3.1039999999999996,Aachen,Germany,50.63N,6.34E
1768-06-01,15.52,5.254,Aachen,Germany,50.63N,6.34E
1768-07-01,17.488999999999994,5.603,Aachen,Germany,50.63N,6.34E
1768-08-01,16.988,1.577,Aachen,Germany,50.63N,6.34E
1768-09-01,12.592,5.271,Aachen,Germany,50.63N,6.34E
1768-10-01,8.477,5.371,Aachen,Germany,50.63N,6.34E
1768-11-01,4.998,6.334,Aachen,Germany,50.63N,6.34E
1768-12-01,1.719,8.347999999999999,Aachen,Germany,50.63N,6.34E
1769-01-01,1.3219999999999998,7.183,Aachen,Germany,50.63N,6.34E
1769-02-01,1.4549999999999998,4.019,Aachen,Germany,50.63N,6.34E
1769-03-01,3.936,6.297000000000001,Aachen,Germany,50.63N,6.34E
1769-04-01,8.407,6.955,Aachen,Germany,50.63N,6.34E
1769-05-01,12.34,10.099,Aachen,Germany,50.63N,6.34E
1769-06-01,14.558,5.269,Aachen,Germany,50.63N,6.34E
1769-07-01,17.430999999999994,6.365,Aachen,Germany,50.63N,6.34E
1769-08-01,16.205,6.126,Aachen,Germany,50.63N,6.34E
1769-09-01,13.718,1.3730000000000002,Aachen,Germany,50.63N,6.34E
1769-10-01,5.367000000000001,2.9730000000000003,Aachen,Germany,50.63N,6.34E
1769-11-01,5.04,1.682,Aachen,Germany,50.63N,6.34E
1769-12-01,2.177,4.687,Aachen,Germany,50.63N,6.34E
1770-01-01,-0.05100000000000005,8.244,Aachen,Germany,50.63N,6.34E
1770-02-01,1.162,4.688,Aachen,Germany,50.63N,6.34E
1770-03-01,1.9040000000000004,5.662999999999999,Aachen,Germany,50.63N,6.34E
1770-04-01,5.914,13.495,Aachen,Germany,50.63N,6.34E
1770-05-01,12.515,2.077,Aachen,Germany,50.63N,6.34E
1770-06-01,14.787,4.77,Aachen,Germany,50.63N,6.34E
1770-07-01,16.427,9.309,Aachen,Germany,50.63N,6.34E
1770-08-01,17.557000000000002,5.292000000000001,Aachen,Germany,50.63N,6.34E
1770-09-01,15.295,4.204,Aachen,Germany,50.63N,6.34E
1770-10-01,8.416,5.794,Aachen,Germany,50.63N,6.34E
1770-11-01,4.789,7.992000000000001,Aachen,Germany,50.63N,6.34E
1770-12-01,3.075,10.97,Aachen,Germany,50.63N,6.34E
1771-01-01,-0.7659999999999999,9.042,Aachen,Germany,50.63N,6.34E
1771-02-01,-0.371,4.984,Aachen,Germany,50.63N,6.34E
1771-03-01,1.4480000000000004,9.083,Aachen,Germany,50.63N,6.34E
1771-04-01,4.524,8.067,Aachen,Germany,50.63N,6.34E
1771-05-01,14.868,13.012,Aachen,Germany,50.63N,6.34E
1771-06-01,15.216,3.406,Aachen,Germany,50.63N,6.34E
1771-07-01,17.093999999999998,2.072,Aachen,Germany,50.63N,6.34E
1771-08-01,15.503999999999998,2.903,Aachen,Germany,50.63N,6.34E
1771-09-01,13.592,2.331,Aachen,Germany,50.63N,6.34E
1771-10-01,9.006,1.7009999999999998,Aachen,Germany,50.63N,6.34E
1771-11-01,2.9610000000000003,5.284,Aachen,Germany,50.63N,6.34E
1771-12-01,3.164,4.961,Aachen,Germany,50.63N,6.34E
1772-01-01,-0.506,9.857999999999999,Aachen,Germany,50.63N,6.34E
1772-02-01,2.623,11.633,Aachen,Germany,50.63N,6.34E
1772-03-01,5.042000000000002,4.7669999999999995,Aachen,Germany,50.63N,6.34E
1772-04-01,6.931,5.1610000000000005,Aachen,Germany,50.63N,6.34E
1772-05-01,10.7,1.879,Aachen,Germany,50.63N,6.34E
1772-06-01,17.212,5.872999999999999,Aachen,Germany,50.63N,6.34E
1772-07-01,17.267,3.451,Aachen,Germany,50.63N,6.34E
1772-08-01,16.994999999999994,5.138999999999999,Aachen,Germany,50.63N,6.34E
1772-09-01,14.818,3.887,Aachen,Germany,50.63N,6.34E
1772-10-01,10.988,3.0669999999999997,Aachen,Germany,50.63N,6.34E
1772-11-01,6.505,6.466,Aachen,Germany,50.63N,6.34E
1772-12-01,2.503,4.4910000000000005,Aachen,Germany,50.63N,6.34E
1773-01-01,2.718,2.174,Aachen,Germany,50.63N,6.34E
1773-02-01,-0.109,3.825,Aachen,Germany,50.63N,6.34E
1773-03-01,4.282,2.612,Aachen,Germany,50.63N,6.34E
1773-04-01,8.107000000000001,3.998,Aachen,Germany,50.63N,6.34E
1773-05-01,12.63,4.106,Aachen,Germany,50.63N,6.34E
1773-06-01,15.513,1.865,Aachen,Germany,50.63N,6.34E
1773-07-01,16.529,2.545,Aachen,Germany,50.63N,6.34E
1773-08-01,17.311,2.5639999999999996,Aachen,Germany,50.63N,6.34E
1773-09-01,14.199000000000002,2.218,Aachen,Germany,50.63N,6.34E
1773-10-01,10.148,1.931,Aachen,Germany,50.63N,6.34E
1773-11-01,5.266,8.029,Aachen,Germany,50.63N,6.34E
1773-12-01,3.372,6.685,Aachen,Germany,50.63N,6.34E
1774-01-01,-0.07000000000000006,9.552,Aachen,Germany,50.63N,6.34E
1774-02-01,2.401,8.39,Aachen,Germany,50.63N,6.34E
1774-03-01,6.260000000000002,2.984,Aachen,Germany,50.63N,6.34E
1774-04-01,9.395,6.188,Aachen,Germany,50.63N,6.34E
1774-05-01,12.624,2.8810000000000002,Aachen,Germany,50.63N,6.34E
1774-06-01,16.486,8.66,Aachen,Germany,50.63N,6.34E
1774-07-01,16.968,8.416,Aachen,Germany,50.63N,6.34E
1774-08-01,17.691,3.446,Aachen,Germany,50.63N,6.34E
1774-09-01,12.834000000000001,3.909,Aachen,Germany,50.63N,6.34E
1774-10-01,8.734,5.266,Aachen,Germany,50.63N,6.34E
1774-11-01,1.068,8.685,Aachen,Germany,50.63N,6.34E
1774-12-01,-0.43100000000000027,6.0120000000000005,Aachen,Germany,50.63N,6.34E
1775-01-01,0.998,5.654,Aachen,Germany,50.63N,6.34E
1775-02-01,4.763,5.292999999999999,Aachen,Germany,50.63N,6.34E
1775-03-01,5.542999999999999,2.259,Aachen,Germany,50.63N,6.34E
1775-04-01,7.864,1.3530000000000002,Aachen,Germany,50.63N,6.34E
1775-05-01,11.955,3.9819999999999998,Aachen,Germany,50.63N,6.34E
1775-06-01,18.012999999999995,5.756,Aachen,Germany,50.63N,6.34E
1775-07-01,18.116,1.617,Aachen,Germany,50.63N,6.34E
1775-08-01,17.453999999999994,1.9569999999999999,Aachen,Germany,50.63N,6.34E
1775-09-01,15.439,3.722,Aachen,Germany,50.63N,6.34E
1775-10-01,9.226,3.293,Aachen,Germany,50.63N,6.34E
1775-11-01,2.9640000000000004,7.414,Aachen,Germany,50.63N,6.34E
1775-12-01,1.73,2.115,Aachen,Germany,50.63N,6.34E
1776-01-01,-5.3629999999999995,7.13,Aachen,Germany,50.63N,6.34E
1776-02-01,3.2030000000000003,4.493,Aachen,Germany,50.63N,6.34E
1776-03-01,5.877000000000002,3.661,Aachen,Germany,50.63N,6.34E
1776-04-01,8.647,1.217,Aachen,Germany,50.63N,6.34E
1776-05-01,10.85,4.658,Aachen,Germany,50.63N,6.34E
1776-06-01,16.349999999999998,3.43,Aachen,Germany,50.63N,6.34E
1776-07-01,18.412,3.2569999999999997,Aachen,Germany,50.63N,6.34E
1776-08-01,17.168999999999997,4.895,Aachen,Germany,50.63N,6.34E
1776-09-01,13.115,3.623,Aachen,Germany,50.63N,6.34E
1776-10-01,9.199000000000002,3.345,Aachen,Germany,50.63N,6.34E
1776-11-01,3.9019999999999997,7.01,Aachen,Germany,50.63N,6.34E
1776-12-01,1.0270000000000001,3.747,Aachen,Germany,50.63N,6.34E
1777-01-01,-1.052,4.5169999999999995,Aachen,Germany,50.63N,6.34E
1777-02-01,-0.7040000000000002,5.862,Aachen,Germany,50.63N,6.34E
1777-03-01,5.582999999999999,2.3040000000000003,Aachen,Germany,50.63N,6.34E
1777-04-01,6.497000000000001,2.0269999999999997,Aachen,Germany,50.63N,6.34E
1777-05-01,12.5,3.9419999999999997,Aachen,Germany,50.63N,6.34E
1777-06-01,15.177,3.085,Aachen,Germany,50.63N,6.34E
1777-07-01,16.672,1.984,Aachen,Germany,50.63N,6.34E
1777-08-01,17.703999999999994,2.1719999999999997,Aachen,Germany,50.63N,6.34E
1777-09-01,13.722999999999999,5.147,Aachen,Germany,50.63N,6.34E
1777-10-01,9.738999999999999,5.767,Aachen,Germany,50.63N,6.34E
1777-11-01,5.796,2.443,Aachen,Germany,50.63N,6.34E
1777-12-01,0.008000000000000007,1.995,Aachen,Germany,50.63N,6.34E
1778-01-01,-0.3980000000000001,3.0810000000000004,Aachen,Germany,50.63N,6.34E
1778-02-01,0.09299999999999996,5.078,Aachen,Germany,50.63N,6.34E
1778-03-01,4.341,4.675,Aachen,Germany,50.63N,6.34E
1778-04-01,9.582,1.5330000000000001,Aachen,Germany,50.63N,6.34E
1778-05-01,14.112,3.1860000000000004,Aachen,Germany,50.63N,6.34E
1778-06-01,16.221999999999998,6.646,Aachen,Germany,50.63N,6.34E
1778-07-01,19.927,1.21,Aachen,Germany,50.63N,6.34E
1778-08-01,18.25,4.388999999999999,Aachen,Germany,50.63N,6.34E
1778-09-01,12.005,1.614,Aachen,Germany,50.63N,6.34E
1778-10-01,7.296000000000001,7.584,Aachen,Germany,50.63N,6.34E
1778-11-01,5.649,5.029,Aachen,Germany,50.63N,6.34E
1778-12-01,4.691,3.585,Aachen,Germany,50.63N,6.34E
1779-01-01,-2.5040000000000004,4.516,Aachen,Germany,50.63N,6.34E
1779-02-01,3.73,9.504,Aachen,Germany,50.63N,6.34E
1779-03-01,6.147,4.802,Aachen,Germany,50.63N,6.34E
1779-04-01,10.484000000000002,4.166,Aachen,Germany,50.63N,6.34E
1779-05-01,14.161,2.282,Aachen,Germany,50.63N,6.34E
1779-06-01,15.148,4.502,Aachen,Germany,50.63N,6.34E
1779-07-01,18.35,2.799,Aachen,Germany,50.63N,6.34E
1779-08-01,18.821,4.194,Aachen,Germany,50.63N,6.34E
1779-09-01,15.870999999999999,2.739,Aachen,Germany,50.63N,6.34E
1779-10-01,11.417000000000002,3.8110000000000004,Aachen,Germany,50.63N,6.34E
1779-11-01,5.325,2.944,Aachen,Germany,50.63N,6.34E
1779-12-01,3.739,10.534,Aachen,Germany,50.63N,6.34E
1780-01-01,-2.998,5.395,Aachen,Germany,50.63N,6.34E
1780-02-01,-0.5820000000000003,3.51,Aachen,Germany,50.63N,6.34E
1780-03-01,7.643000000000002,1.558,Aachen,Germany,50.63N,6.34E
1780-04-01,7.365,3.262,Aachen,Germany,50.63N,6.34E
1780-05-01,13.96,2.753,Aachen,Germany,50.63N,6.34E
1780-06-01,15.875,5.727,Aachen,Germany,50.63N,6.34E
1780-07-01,17.840999999999994,2.1590000000000003,Aachen,Germany,50.63N,6.34E
1780-08-01,19.352,5.172000000000001,Aachen,Germany,50.63N,6.34E
1780-09-01,14.677,4.373,Aachen,Germany,50.63N,6.34E
1780-10-01,9.922,2.946,Aachen,Germany,50.63N,6.34E
1780-11-01,3.763,2.918,Aachen,Germany,50.63N,6.34E
1780-12-01,-0.15999999999999992,2.75,Aachen,Germany,50.63N,6.34E
1781-01-01,-0.5210000000000001,8.693999999999999,Aachen,Germany,50.63N,6.34E
1781-02-01,3.036,12.213,Aachen,Germany,50.63N,6.34E
1781-03-01,5.691000000000002,1.314,Aachen,Germany,50.63N,6.34E
1781-04-01,10.356,2.966,Aachen,Germany,50.63N,6.34E
1781-05-01,14.19,3.3789999999999996,Aachen,Germany,50.63N,6.34E
1781-06-01,17.95,1.82,Aachen,Germany,50.63N,6.34E
1781-07-01,18.537,3.417,Aachen,Germany,50.63N,6.34E
1781-08-01,18.893,0.887,Aachen,Germany,50.63N,6.34E
1781-09-01,15.209000000000001,6.835,Aachen,Germany,50.63N,6.34E
1781-10-01,8.504000000000001,1.5530000000000002,Aachen,Germany,50.63N,6.34E
1781-11-01,4.495,2.387,Aachen,Germany,50.63N,6.34E
1781-12-01,2.1519999999999997,7.612,Aachen,Germany,50.63N,6.34E
1782-01-01,2.802,4.71,Aachen,Germany,50.63N,6.34E
1782-02-01,-2.057,9.49,Aachen,Germany,50.63N,6.34E
1782-03-01,3.374000000000001,2.513,Aachen,Germany,50.63N,6.34E
1782-04-01,6.742999999999999,4.855,Aachen,Germany,50.63N,6.34E
1782-05-01,11.520999999999999,4.187,Aachen,Germany,50.63N,6.34E
1782-06-01,17.474,3.195,Aachen,Germany,50.63N,6.34E
1782-07-01,18.778,5.643,Aachen,Germany,50.63N,6.34E
1782-08-01,16.302,3.9739999999999998,Aachen,Germany,50.63N,6.34E
1782-09-01,13.974,4.157,Aachen,Germany,50.63N,6.34E
1782-10-01,6.851000000000001,4.649,Aachen,Germany,50.63N,6.34E
1782-11-01,0.7830000000000004,9.863999999999999,Aachen,Germany,50.63N,6.34E
1782-12-01,0.07599999999999985,6.4910000000000005,Aachen,Germany,50.63N,6.34E
1783-01-01,2.9819999999999998,9.671,Aachen,Germany,50.63N,6.34E
1783-02-01,3.7539999999999996,5.3660000000000005,Aachen,Germany,50.63N,6.34E
1783-03-01,2.5290000000000004,3.217,Aachen,Germany,50.63N,6.34E
1783-04-01,9.244,1.854,Aachen,Germany,50.63N,6.34E
1783-05-01,13.317,5.886,Aachen,Germany,50.63N,6.34E
1783-06-01,17.237000000000002,1.885,Aachen,Germany,50.63N,6.34E
1783-07-01,20.351,2.345,Aachen,Germany,50.63N,6.34E
1783-08-01,17.692999999999994,2.543,Aachen,Germany,50.63N,6.34E
1783-09-01,14.375,4.7860000000000005,Aachen,Germany,50.63N,6.34E
1783-10-01,9.685,4.8919999999999995,Aachen,Germany,50.63N,6.34E
1783-11-01,4.3870000000000005,2.923,Aachen,Germany,50.63N,6.34E
1783-12-01,-1.571,3.253,Aachen,Germany,50.63N,6.34E
1784-01-01,-4.6800000000000015,12.179,Aachen,Germany,50.63N,6.34E
1784-02-01,-1.932,9.212,Aachen,Germany,50.63N,6.34E
1784-03-01,2.1330000000000005,4.672,Aachen,Germany,50.63N,6.34E
1784-04-01,5.457999999999999,9.308,Aachen,Germany,50.63N,6.34E
1784-05-01,15.072000000000001,2.467,Aachen,Germany,50.63N,6.34E
1784-06-01,16.648,2.7939999999999996,Aachen,Germany,50.63N,6.34E
1784-07-01,17.535999999999998,5.662000000000001,Aachen,Germany,50.63N,6.34E
1784-08-01,15.714,8.033999999999999,Aachen,Germany,50.63N,6.34E
1784-09-01,15.212,6.558,Aachen,Germany,50.63N,6.34E
1784-10-01,5.745000000000001,5.556,Aachen,Germany,50.63N,6.34E
1784-11-01,4.9060000000000015,2.736,Aachen,Germany,50.63N,6.34E
1784-12-01,-1.062,3.3689999999999998,Aachen,Germany,50.63N,6.34E
1785-01-01,-0.10299999999999998,5.2620000000000005,Aachen,Germany,50.63N,6.34E
1785-02-01,-1.972,6.966,Aachen,Germany,50.63N,6.34E
1785-03-01,-1.2769999999999992,4.904,Aachen,Germany,50.63N,6.34E
1785-04-01,5.682,3.798,Aachen,Germany,50.63N,6.34E
1785-05-01,12.182,5.305,Aachen,Germany,50.63N,6.34E
1785-06-01,15.689,5.403,Aachen,Germany,50.63N,6.34E
1785-07-01,17.153,4.754,Aachen,Germany,50.63N,6.34E
1785-08-01,15.662999999999998,4.187,Aachen,Germany,50.63N,6.34E
1785-09-01,15.364,2.335,Aachen,Germany,50.63N,6.34E
1785-10-01,8.602,3.426,Aachen,Germany,50.63N,6.34E
1785-11-01,4.3950000000000005,5.388,Aachen,Germany,50.63N,6.34E
1785-12-01,0.17099999999999982,2.693,Aachen,Germany,50.63N,6.34E
1786-01-01,0.9540000000000001,3.008,Aachen,Germany,50.63N,6.34E
1786-02-01,1.0419999999999998,2.745,Aachen,Germany,50.63N,6.34E
1786-03-01,0.8000000000000003,7.847,Aachen,Germany,50.63N,6.34E
1786-04-01,9.343,4.584,Aachen,Germany,50.63N,6.34E
1786-05-01,12.14,4.711,Aachen,Germany,50.63N,6.34E
1786-06-01,17.191,1.7890000000000001,Aachen,Germany,50.63N,6.34E
1786-07-01,15.730999999999998,5.412999999999999,Aachen,Germany,50.63N,6.34E
1786-08-01,15.900999999999998,8.493,Aachen,Germany,50.63N,6.34E
1786-09-01,12.197,8.963,Aachen,Germany,50.63N,6.34E
1786-10-01,6.6880000000000015,1.7730000000000001,Aachen,Germany,50.63N,6.34E
1786-11-01,0.7510000000000003,7.31,Aachen,Germany,50.63N,6.34E
1786-12-01,1.0699999999999998,3.41,Aachen,Germany,50.63N,6.34E
1787-01-01,-1.425,4.99,Aachen,Germany,50.63N,6.34E
1787-02-01,2.7710000000000004,4.851,Aachen,Germany,50.63N,6.34E
1787-03-01,6.2730000000000015,4.556,Aachen,Germany,50.63N,6.34E
1787-04-01,7.126,3.3560000000000003,Aachen,Germany,50.63N,6.34E
1787-05-01,11.194,5.9639999999999995,Aachen,Germany,50.63N,6.34E
1787-06-01,16.266,5.058,Aachen,Germany,50.63N,6.34E
1787-07-01,16.509999999999998,7.867000000000001,Aachen,Germany,50.63N,6.34E
1787-08-01,17.061,6.275,Aachen,Germany,50.63N,6.34E
1787-09-01,13.663,3.955,Aachen,Germany,50.63N,6.34E
1787-10-01,10.540999999999999,8.894,Aachen,Germany,50.63N,6.34E
1787-11-01,4.316,1.319,Aachen,Germany,50.63N,6.34E
1787-12-01,3.408,4.619,Aachen,Germany,50.63N,6.34E
1788-01-01,1.75,2.169,Aachen,Germany,50.63N,6.34E
1788-02-01,2.3169999999999997,7.71,Aachen,Germany,50.63N,6.34E
1788-03-01,3.0189999999999997,4.163,Aachen,Germany,50.63N,6.34E
1788-04-01,8.704,4.668,Aachen,Germany,50.63N,6.34E
1788-05-01,14.263,2.839,Aachen,Germany,50.63N,6.34E
1788-06-01,16.919999999999998,2.7889999999999997,Aachen,Germany,50.63N,6.34E
1788-07-01,18.938,5.022,Aachen,Germany,50.63N,6.34E
1788-08-01,16.343999999999998,2.302,Aachen,Germany,50.63N,6.34E
1788-09-01,14.918,1.9180000000000001,Aachen,Germany,50.63N,6.34E
1788-10-01,8.413,3.26,Aachen,Germany,50.63N,6.34E
1788-11-01,1.94,3.88,Aachen,Germany,50.63N,6.34E
1788-12-01,-4.4689999999999985,5.765,Aachen,Germany,50.63N,6.34E
1789-01-01,-2.1790000000000003,7.5120000000000005,Aachen,Germany,50.63N,6.34E
1789-02-01,3.221,4.927,Aachen,Germany,50.63N,6.34E
1789-03-01,-0.3369999999999997,5.031000000000001,Aachen,Germany,50.63N,6.34E
1789-04-01,7.791,3.4960000000000004,Aachen,Germany,50.63N,6.34E
1789-05-01,15.003,4.9830000000000005,Aachen,Germany,50.63N,6.34E
1789-06-01,14.415999999999999,1.99,Aachen,Germany,50.63N,6.34E
1789-07-01,17.22,3.4530000000000003,Aachen,Germany,50.63N,6.34E
1789-08-01,17.083,1.8940000000000001,Aachen,Germany,50.63N,6.34E
1789-09-01,13.181,1.673,Aachen,Germany,50.63N,6.34E
1789-10-01,8.283999999999999,4.188,Aachen,Germany,50.63N,6.34E
1789-11-01,3.393,1.546,Aachen,Germany,50.63N,6.34E
1789-12-01,3.105,2.565,Aachen,Germany,50.63N,6.34E
1790-01-01,1.545,5.518,Aachen,Germany,50.63N,6.34E
1790-02-01,3.951,5.718,Aachen,Germany,50.63N,6.34E
1790-03-01,5.5680000000000005,2.7910000000000004,Aachen,Germany,50.63N,6.34E
1790-04-01,6.408,3.52,Aachen,Germany,50.63N,6.34E
1790-05-01,14.145999999999999,2.0980000000000003,Aachen,Germany,50.63N,6.34E
1790-06-01,16.15,3.0269999999999997,Aachen,Germany,50.63N,6.34E
1790-07-01,15.706,2.119,Aachen,Germany,50.63N,6.34E
1790-08-01,16.74,2.552,Aachen,Germany,50.63N,6.34E
1790-09-01,12.194,2.5540000000000003,Aachen,Germany,50.63N,6.34E
1790-10-01,9.041,3.778,Aachen,Germany,50.63N,6.34E
1790-11-01,3.924,2.443,Aachen,Germany,50.63N,6.34E
1790-12-01,2.274,10.475,Aachen,Germany,50.63N,6.34E
1791-01-01,3.093,8.724,Aachen,Germany,50.63N,6.34E
1791-02-01,2.22,2.608,Aachen,Germany,50.63N,6.34E
1791-03-01,4.777,4.274,Aachen,Germany,50.63N,6.34E
1791-04-01,10.550999999999998,3.016,Aachen,Germany,50.63N,6.34E
1791-05-01,11.697000000000001,2.504,Aachen,Germany,50.63N,6.34E
1791-06-01,15.646,3.299,Aachen,Germany,50.63N,6.34E
1791-07-01,17.057000000000002,2.513,Aachen,Germany,50.63N,6.34E
1791-08-01,18.131,1.348,Aachen,Germany,50.63N,6.34E
1791-09-01,13.43,2.8169999999999997,Aachen,Germany,50.63N,6.34E
1791-10-01,8.437000000000001,1.439,Aachen,Germany,50.63N,6.34E
1791-11-01,2.781,2.987,Aachen,Germany,50.63N,6.34E
1791-12-01,1.3869999999999998,2.432,Aachen,Germany,50.63N,6.34E
1792-01-01,0.624,6.1129999999999995,Aachen,Germany,50.63N,6.34E
1792-02-01,0.649,3.8110000000000004,Aachen,Germany,50.63N,6.34E
1792-03-01,4.9060000000000015,2.093,Aachen,Germany,50.63N,6.34E
1792-04-01,10.325999999999999,2.597,Aachen,Germany,50.63N,6.34E
1792-05-01,11.655999999999999,1.5490000000000002,Aachen,Germany,50.63N,6.34E
1792-06-01,15.274000000000001,1.137,Aachen,Germany,50.63N,6.34E
1792-07-01,17.801,2.742,Aachen,Germany,50.63N,6.34E
1792-08-01,17.991999999999994,2.2640000000000002,Aachen,Germany,50.63N,6.34E
1792-09-01,12.280999999999999,3.822,Aachen,Germany,50.63N,6.34E
1792-10-01,9.121,2.5180000000000002,Aachen,Germany,50.63N,6.34E
1792-11-01,3.965,3.364,Aachen,Germany,50.63N,6.34E
1792-12-01,2.112,3.784,Aachen,Germany,50.63N,6.34E
1793-01-01,-1.041,5.409,Aachen,Germany,50.63N,6.34E
1793-02-01,3.677,6.305,Aachen,Germany,50.63N,6.34E
1793-03-01,4.407,4.572,Aachen,Germany,50.63N,6.34E
1793-04-01,6.667000000000001,3.0580000000000003,Aachen,Germany,50.63N,6.34E
1793-05-01,11.491,1.901,Aachen,Germany,50.63N,6.34E
